,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
70,20,Pembro,SKCM,LR,tpm,5,False,0.5673076923076923,0.503578154425612
71,21,Pembro,SKCM,LR,tpm,5,False,0.5480769230769231,0.47325800376647836
72,22,Pembro,SKCM,LR,tpm,5,True,0.5769230769230769,0.5018832391713748
73,23,Pembro,SKCM,LR,tpm,5,True,0.5673076923076923,0.6084745762711865
74,24,Pembro,SKCM,LR,tpm,5,False,0.5576923076923077,0.4146892655367232
75,25,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.43728813559322033
76,26,Pembro,SKCM,LR,tpm,5,False,0.5673076923076923,0.42523540489642186
77,27,Pembro,SKCM,LR,tpm,5,True,0.4519230769230769,0.41883239171374764
78,28,Pembro,SKCM,LR,tpm,5,True,0.5865384615384616,0.5333333333333334
79,29,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.43521657250470813
80,30,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.4370998116760828
81,31,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.5634651600753295
82,32,Pembro,SKCM,LR,tpm,5,True,0.5576923076923077,0.5807909604519773
83,33,Pembro,SKCM,LR,tpm,5,False,0.5961538461538461,0.5084745762711864
84,34,Pembro,SKCM,LR,tpm,5,True,0.5576923076923077,0.49039548022598867
85,35,Pembro,SKCM,LR,tpm,5,False,0.5576923076923077,0.5416195856873823
86,36,Pembro,SKCM,LR,tpm,5,False,0.5576923076923077,0.4781544256120527
87,37,Pembro,SKCM,LR,tpm,5,True,0.5576923076923077,0.47532956685499056
88,38,Pembro,SKCM,LR,tpm,5,False,0.5673076923076923,0.5691148775894539
89,39,Pembro,SKCM,LR,tpm,5,False,0.5480769230769231,0.5920903954802259
90,40,Pembro,SKCM,LR,tpm,5,False,0.5961538461538461,0.5344632768361581
91,41,Pembro,SKCM,LR,tpm,5,True,0.5576923076923077,0.47853107344632767
92,42,Pembro,SKCM,LR,tpm,5,False,0.5673076923076923,0.4971751412429379
93,43,Pembro,SKCM,LR,tpm,5,True,0.5673076923076923,0.45875706214689266
94,44,Pembro,SKCM,LR,tpm,5,False,0.5865384615384616,0.46854990583804146
95,45,Pembro,SKCM,LR,tpm,5,True,0.5769230769230769,0.5192090395480227
96,46,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.49020715630885126
97,47,Pembro,SKCM,LR,tpm,5,False,0.5673076923076923,0.48926553672316386
98,48,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.5169491525423728
99,49,Pembro,SKCM,LR,tpm,5,False,0.5769230769230769,0.5625235404896423
100,0,Pembro,SKCM,RF,tpm,5,False,0.5769230769230769,0.48794726930320154
101,1,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.4890772128060264
102,2,Pembro,SKCM,RF,tpm,5,False,0.5192307692307693,0.5145009416195857
103,3,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.499623352165725
104,4,Pembro,SKCM,RF,tpm,5,False,0.4423076923076923,0.4502824858757062
105,5,Pembro,SKCM,RF,tpm,5,False,0.5,0.4807909604519774
106,6,Pembro,SKCM,RF,tpm,5,False,0.5769230769230769,0.5099811676082863
107,7,Pembro,SKCM,RF,tpm,5,False,0.5,0.5111111111111112
108,8,Pembro,SKCM,RF,tpm,5,False,0.5384615384615384,0.5730696798493409
109,9,Pembro,SKCM,RF,tpm,5,False,0.4807692307692308,0.44011299435028245
110,10,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.5514124293785311
111,11,Pembro,SKCM,RF,tpm,5,False,0.5576923076923077,0.5930320150659133
112,12,Pembro,SKCM,RF,tpm,5,False,0.5,0.5493408662900189
113,13,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.5627118644067797
114,14,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.4617702448210923
115,15,Pembro,SKCM,RF,tpm,5,False,0.5865384615384616,0.5365348399246703
116,16,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.5962335216572505
117,17,Pembro,SKCM,RF,tpm,5,False,0.5,0.45367231638418076
118,18,Pembro,SKCM,RF,tpm,5,False,0.4230769230769231,0.43201506591337097
119,19,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.539171374764595
120,20,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.4651600753295669
121,21,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.5288135593220339
122,22,Pembro,SKCM,RF,tpm,5,False,0.5865384615384616,0.5696798493408662
123,23,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.5041431261770245
124,24,Pembro,SKCM,RF,tpm,5,False,0.46153846153846156,0.4721280602636535
125,25,Pembro,SKCM,RF,tpm,5,False,0.47115384615384615,0.4815442561205273
126,26,Pembro,SKCM,RF,tpm,5,False,0.5673076923076923,0.6160075329566855
127,27,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.45574387947269307
128,28,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.5184557438794727
129,29,Pembro,SKCM,RF,tpm,5,False,0.5192307692307693,0.49604519774011296
130,30,Pembro,SKCM,RF,tpm,5,False,0.5192307692307693,0.5169491525423728
131,31,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.5030131826741996
132,32,Pembro,SKCM,RF,tpm,5,False,0.5769230769230769,0.5284369114877588
133,33,Pembro,SKCM,RF,tpm,5,False,0.5288461538461539,0.48286252354048964
134,34,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.5094161958568738
135,35,Pembro,SKCM,RF,tpm,5,False,0.5192307692307693,0.543502824858757
136,36,Pembro,SKCM,RF,tpm,5,False,0.5192307692307693,0.515819209039548
137,37,Pembro,SKCM,RF,tpm,5,False,0.5384615384615384,0.4992467043314501
138,38,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.5188323917137476
139,39,Pembro,SKCM,RF,tpm,5,False,0.5096153846153846,0.4935969868173258
140,40,Pembro,SKCM,RF,tpm,5,False,0.5480769230769231,0.5129943502824859
141,41,Pembro,SKCM,RF,tpm,5,False,0.4807692307692308,0.46308851224105474
142,42,Pembro,SKCM,RF,tpm,5,False,0.5288461538461539,0.5050847457627119
