,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
0,0,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
1,1,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
2,2,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
3,3,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
4,4,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
5,5,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
6,6,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
7,7,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
8,8,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
9,9,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
10,10,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
11,11,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
12,12,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
13,13,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
14,14,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
15,15,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
16,16,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
17,17,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
18,18,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
19,19,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
20,20,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
21,21,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
22,22,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
23,23,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
24,24,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
25,25,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
26,26,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
27,27,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
28,28,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
29,29,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
30,30,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
31,31,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
32,32,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
33,33,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
34,34,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
35,35,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
36,36,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
37,37,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
38,38,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
39,39,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
40,40,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
41,41,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
42,42,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
43,43,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
44,44,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
45,45,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
46,46,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
47,47,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
48,48,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
49,49,Atezo,KIRC,prior,tpm,5,False,0.7089552238805971,0.5
50,0,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5624831309041836
51,1,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5854251012145749
52,2,Atezo,KIRC,LR,tpm,5,True,0.6119402985074627,0.47705802968960864
53,3,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5978407557354926
54,4,Atezo,KIRC,LR,tpm,5,False,0.6492537313432836,0.5090418353576248
55,5,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.61889338731444
56,6,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6396761133603239
57,7,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5592442645074224
58,8,Atezo,KIRC,LR,tpm,5,True,0.582089552238806,0.5198380566801619
59,9,Atezo,KIRC,LR,tpm,5,False,0.7014925373134329,0.5546558704453441
60,10,Atezo,KIRC,LR,tpm,5,True,0.6119402985074627,0.48690958164642373
61,11,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5744939271255061
62,12,Atezo,KIRC,LR,tpm,5,False,0.6865671641791045,0.5225371120107962
63,13,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5859649122807018
64,14,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5190283400809717
65,15,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6091767881241565
66,16,Atezo,KIRC,LR,tpm,5,False,0.7014925373134329,0.4898785425101214
67,17,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5954116059379218
68,18,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5562753036437247
69,19,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5649122807017544
70,20,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5230769230769231
71,21,Atezo,KIRC,LR,tpm,5,False,0.6567164179104478,0.5058029689608637
72,22,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5897435897435898
73,23,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5811066126855601
74,24,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6269905533063428
75,25,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6194331983805669
76,26,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6280701754385964
77,27,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5404858299595142
78,28,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5956815114709851
79,29,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5219973009446695
80,30,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.573549257759784
81,31,Atezo,KIRC,LR,tpm,5,False,0.6865671641791045,0.4885290148448044
82,32,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6151147098515519
83,33,Atezo,KIRC,LR,tpm,5,False,0.6044776119402985,0.46720647773279356
84,34,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6117408906882591
85,35,Atezo,KIRC,LR,tpm,5,False,0.6567164179104478,0.48582995951417
86,36,Atezo,KIRC,LR,tpm,5,False,0.7014925373134329,0.5686909581646424
87,37,Atezo,KIRC,LR,tpm,5,False,0.6417910447761194,0.4734143049932523
88,38,Atezo,KIRC,LR,tpm,5,False,0.6492537313432836,0.4713900134952766
89,39,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6253711201079623
90,40,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6070175438596491
91,41,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6402159244264507
92,42,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.6294197031039137
93,43,Atezo,KIRC,LR,tpm,5,False,0.6716417910447762,0.49014844804318486
94,44,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.583535762483131
95,45,Atezo,KIRC,LR,tpm,5,False,0.6940298507462687,0.5290148448043185
96,46,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5473684210526315
97,47,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5700404858299595
98,48,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5902834008097166
99,49,Atezo,KIRC,LR,tpm,5,False,0.7089552238805971,0.5878542510121457
100,0,Atezo,KIRC,RF,tpm,5,False,0.664179104477612,0.5527665317139001
101,1,Atezo,KIRC,RF,tpm,5,False,0.664179104477612,0.581646423751687
102,2,Atezo,KIRC,RF,tpm,5,False,0.6865671641791045,0.4916329284750337
103,3,Atezo,KIRC,RF,tpm,5,False,0.6567164179104478,0.5411605937921727
104,4,Atezo,KIRC,RF,tpm,5,False,0.5447761194029851,0.438191632928475
105,5,Atezo,KIRC,RF,tpm,5,False,0.6865671641791045,0.4516869095816464
106,6,Atezo,KIRC,RF,tpm,5,False,0.5895522388059702,0.39136302294197034
107,7,Atezo,KIRC,RF,tpm,5,False,0.5970149253731343,0.47813765182186235
108,8,Atezo,KIRC,RF,tpm,5,False,0.6268656716417911,0.4472334682860999
109,9,Atezo,KIRC,RF,tpm,5,False,0.6567164179104478,0.5889338731443994
