,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
0,0,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
1,1,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
2,2,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
3,3,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
4,4,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
5,5,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
6,6,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
7,7,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
8,8,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
9,9,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
10,10,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
11,11,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
12,12,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
13,13,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
14,14,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
15,15,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
16,16,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
17,17,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
18,18,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
19,19,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
20,20,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
21,21,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
22,22,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
23,23,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
24,24,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
25,25,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
26,26,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
27,27,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
28,28,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
29,29,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
30,30,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
31,31,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
32,32,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
33,33,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
34,34,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
35,35,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
36,36,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
37,37,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
38,38,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
39,39,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
40,40,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
41,41,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
42,42,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
43,43,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
44,44,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
45,45,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
46,46,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
47,47,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
48,48,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
49,49,Pembro,STAD,prior,tpm,5,False,0.7222222222222222,0.5
50,0,Pembro,STAD,LR,tpm,5,True,0.7222222222222222,0.6038461538461538
51,1,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5980769230769231
52,2,Pembro,STAD,LR,tpm,5,False,0.6944444444444444,0.6057692307692308
53,3,Pembro,STAD,LR,tpm,5,False,0.5833333333333334,0.4
54,4,Pembro,STAD,LR,tpm,5,True,0.6388888888888888,0.49230769230769234
55,5,Pembro,STAD,LR,tpm,5,True,0.7222222222222222,0.5923076923076923
56,6,Pembro,STAD,LR,tpm,5,True,0.6111111111111112,0.3769230769230769
57,7,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5211538461538462
58,8,Pembro,STAD,LR,tpm,5,False,0.6944444444444444,0.6000000000000001
59,9,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5653846153846154
60,10,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.4653846153846154
61,11,Pembro,STAD,LR,tpm,5,False,0.6666666666666666,0.6019230769230769
62,12,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5846153846153845
63,13,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5442307692307693
64,14,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5961538461538461
65,15,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5846153846153846
66,16,Pembro,STAD,LR,tpm,5,True,0.5833333333333334,0.4288461538461538
67,17,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.47692307692307695
68,18,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5038461538461538
69,19,Pembro,STAD,LR,tpm,5,False,0.6388888888888888,0.5807692307692307
70,20,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.6076923076923078
71,21,Pembro,STAD,LR,tpm,5,True,0.5833333333333334,0.5134615384615384
72,22,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5365384615384615
73,23,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5
74,24,Pembro,STAD,LR,tpm,5,False,0.5833333333333334,0.4461538461538461
75,25,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.6692307692307693
76,26,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5923076923076922
77,27,Pembro,STAD,LR,tpm,5,False,0.7222222222222222,0.5057692307692307
