,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
70,20,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6560276679841898
71,21,Atezo,BLCA,LR,tpm,5,False,0.7447698744769874,0.5830039525691699
72,22,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.633399209486166
73,23,Atezo,BLCA,LR,tpm,5,False,0.7405857740585774,0.6051383399209486
74,24,Atezo,BLCA,LR,tpm,5,False,0.6903765690376569,0.4614624505928854
75,25,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6260869565217391
76,26,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6642292490118578
77,27,Atezo,BLCA,LR,tpm,5,False,0.7405857740585774,0.5926877470355731
78,28,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6926877470355731
79,29,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6700592885375495
80,30,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6781620553359684
81,31,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.666205533596838
82,32,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6601778656126482
83,33,Atezo,BLCA,LR,tpm,5,False,0.7656903765690377,0.5727272727272728
84,34,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6813241106719368
85,35,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6777667984189724
86,36,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6832015810276679
87,37,Atezo,BLCA,LR,tpm,5,False,0.7322175732217573,0.558695652173913
88,38,Atezo,BLCA,LR,tpm,5,False,0.7656903765690377,0.5860671936758893
89,39,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6788537549407114
90,40,Atezo,BLCA,LR,tpm,5,False,0.7615062761506276,0.6011857707509881
91,41,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6896245059288537
92,42,Atezo,BLCA,LR,tpm,5,False,0.7364016736401674,0.608695652173913
93,43,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6021739130434783
94,44,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6597826086956522
95,45,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6234189723320158
96,46,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6661067193675889
97,47,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6444664031620553
98,48,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6468379446640315
99,49,Atezo,BLCA,LR,tpm,5,False,0.7447698744769874,0.5649209486166008
100,0,Atezo,BLCA,RF,tpm,5,False,0.7405857740585774,0.5387351778656126
101,1,Atezo,BLCA,RF,tpm,5,False,0.7280334728033473,0.6235671936758894
102,2,Atezo,BLCA,RF,tpm,5,False,0.7405857740585774,0.5842885375494071
103,3,Atezo,BLCA,RF,tpm,5,False,0.7196652719665272,0.6403656126482213
104,4,Atezo,BLCA,RF,tpm,5,False,0.7322175732217573,0.5599802371541502
105,5,Atezo,BLCA,RF,tpm,5,False,0.7740585774058577,0.6345849802371542
106,6,Atezo,BLCA,RF,tpm,5,False,0.7280334728033473,0.5556818181818182
107,7,Atezo,BLCA,RF,tpm,5,False,0.7071129707112971,0.5589426877470356
108,8,Atezo,BLCA,RF,tpm,5,False,0.7698744769874477,0.6442687747035571
109,9,Atezo,BLCA,RF,tpm,5,False,0.7238493723849372,0.5897233201581027
110,10,Atezo,BLCA,RF,tpm,5,False,0.7364016736401674,0.5370553359683795
111,11,Atezo,BLCA,RF,tpm,5,False,0.7364016736401674,0.6250988142292491
112,12,Atezo,BLCA,RF,tpm,5,False,0.7238493723849372,0.6197134387351778
113,13,Atezo,BLCA,RF,tpm,5,False,0.7071129707112971,0.6016304347826086
114,14,Atezo,BLCA,RF,tpm,5,False,0.7322175732217573,0.578606719367589
115,15,Atezo,BLCA,RF,tpm,5,False,0.7071129707112971,0.6196146245059289
116,16,Atezo,BLCA,RF,tpm,5,False,0.7656903765690377,0.6084980237154151
117,17,Atezo,BLCA,RF,tpm,5,False,0.6861924686192469,0.5633893280632412
118,18,Atezo,BLCA,RF,tpm,5,False,0.7196652719665272,0.5611660079051383
119,19,Atezo,BLCA,RF,tpm,5,False,0.7071129707112971,0.5766798418972332
120,20,Atezo,BLCA,RF,tpm,5,False,0.7364016736401674,0.6272727272727272
121,21,Atezo,BLCA,RF,tpm,5,False,0.7447698744769874,0.5908102766798419
122,22,Atezo,BLCA,RF,tpm,5,False,0.7615062761506276,0.637005928853755
123,23,Atezo,BLCA,RF,tpm,5,False,0.7112970711297071,0.5963438735177865
124,24,Atezo,BLCA,RF,tpm,5,False,0.7740585774058577,0.6440711462450593
125,25,Atezo,BLCA,RF,tpm,5,False,0.7615062761506276,0.5985177865612648
126,26,Atezo,BLCA,RF,tpm,5,False,0.7782426778242678,0.62850790513834
127,27,Atezo,BLCA,RF,tpm,5,False,0.7405857740585774,0.5190217391304348
128,28,Atezo,BLCA,RF,tpm,5,False,0.7573221757322176,0.6356719367588933
129,29,Atezo,BLCA,RF,tpm,5,False,0.7615062761506276,0.5778656126482213
